Age,Weight (kg),Height (m),Max_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
41,94.1,1.62,172,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86
43,55.5,1.82,160,66,1.08,663.0,Strength,20.1,2.0,3,1,16.76
42,53.7,1.72,183,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15
58,66.1,1.75,169,57,0.63,363.0,Cardio,25.2,1.8,2,1,21.58
46,103.9,1.77,194,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16
32,61.7,1.58,183,54,1.87,1262.0,HIIT,16.6,2.7,5,3,24.72
18,52.3,1.74,187,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27
42,59.5,1.74,195,52,1.78,1129.0,Yoga,16.4,2.7,5,3,19.65
24,72.9,1.76,175,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53
26,76.7,1.63,199,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87
41,72.1,1.83,175,58,1.13,744.0,Yoga,21.4,2.8,3,2,21.53
18,54.8,1.68,176,71,1.27,1003.0,Strength,32.0,2.2,4,2,19.42
25,105.0,1.88,174,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71
41,55.0,1.55,175,65,1.45,1103.0,Strength,31.4,2.0,4,2,22.89
28,81.6,1.66,174,50,1.09,917.0,Yoga,20.5,3.5,4,2,29.61
34,75.6,1.6,193,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53
25,81.5,1.61,170,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44
52,61.5,1.69,160,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53
52,74.0,1.63,174,50,1.26,936.0,Cardio,25.7,3.7,3,2,27.85
50,56.4,1.59,185,74,1.26,924.0,HIIT,34.3,2.6,3,1,22.31
22,102.6,1.84,163,65,1.25,1052.0,Strength,20.5,2.7,3,2,30.3
59,54.6,1.57,164,64,0.58,441.0,Cardio,29.2,2.3,3,1,22.15
56,129.0,1.78,194,64,1.29,805.0,Yoga,27.1,2.7,2,1,40.71
58,103.5,1.66,172,61,1.33,1106.0,Cardio,24.6,3.1,3,1,37.56
45,59.4,1.51,169,65,1.15,735.0,Strength,33.1,1.9,4,2,26.05
24,60.1,1.79,170,63,1.97,1625.0,Cardio,15.9,2.7,4,3,18.76
26,77.7,1.62,177,73,1.16,804.0,Yoga,29.6,3.0,3,2,29.61
25,41.2,1.62,193,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7
29,58.6,1.61,198,72,1.2,805.0,Yoga,23.4,2.0,3,2,22.61
51,109.3,1.78,182,64,0.54,420.0,Strength,28.7,3.3,3,1,34.5
50,69.6,1.96,166,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12
40,56.2,1.79,198,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54
41,71.7,1.96,162,51,0.51,424.0,Yoga,27.3,2.5,2,1,18.66
54,86.0,1.93,171,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09
52,79.4,1.59,166,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41
57,78.4,1.62,185,52,1.01,677.0,Strength,31.7,2.0,4,2,29.87
39,55.4,1.6,192,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64
44,61.7,1.55,196,66,1.41,819.0,Strength,33.1,2.6,4,2,25.68
52,85.5,1.82,174,57,1.78,1357.0,Yoga,14.9,3.5,4,3,25.81
18,87.6,1.93,161,72,1.72,1315.0,HIIT,11.9,3.5,4,3,23.52
52,82.4,1.72,166,53,1.01,685.0,Strength,24.4,2.7,4,2,27.85
54,67.0,1.68,191,63,0.55,446.0,Yoga,20.5,2.8,3,1,23.74
31,42.3,1.6,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52
20,82.7,1.99,179,59,1.69,1357.0,HIIT,14.6,3.5,5,3,20.88
18,92.4,1.74,195,50,1.41,1303.0,Yoga,21.3,3.1,2,1,30.52
22,63.2,1.54,191,53,1.02,790.0,Cardio,29.5,2.4,4,2,26.65
43,82.7,1.85,187,50,1.22,858.0,Yoga,28.2,3.1,4,2,24.16
31,86.6,1.76,172,66,1.29,1071.0,Strength,28.9,3.3,3,2,27.96
56,129.5,1.95,160,66,1.0,639.0,Strength,25.2,3.5,2,1,34.06
44,98.0,1.83,194,56,1.28,824.0,Cardio,25.7,3.5,4,2,29.26
26,86.2,1.68,189,72,1.97,1701.0,Strength,13.3,3.5,5,3,30.54
32,78.6,1.62,195,69,1.28,880.0,Yoga,29.6,3.1,3,1,29.95
32,59.0,1.66,184,64,0.51,408.0,Cardio,31.0,1.8,2,1,21.41
43,57.3,1.79,175,62,1.98,1479.0,Yoga,17.8,2.7,4,3,17.88
59,122.3,1.89,178,51,0.66,500.0,Yoga,20.1,3.1,3,1,34.24
30,85.3,1.95,160,68,1.61,1373.0,Yoga,10.4,3.5,5,3,22.43
49,45.2,1.74,164,73,1.24,870.0,Strength,30.8,2.1,3,2,14.93
56,55.6,1.92,181,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08
49,82.8,1.95,183,73,1.91,1503.0,Yoga,14.3,3.5,5,3,21.78
21,125.2,1.66,196,60,1.38,1207.0,HIIT,29.8,3.4,3,2,45.43
47,58.5,1.79,195,71,1.42,837.0,Yoga,30.3,2.4,4,2,18.26
54,86.1,1.95,195,64,1.17,811.0,Yoga,27.9,3.4,2,1,22.64
40,63.5,1.61,163,59,1.31,1041.0,Cardio,33.4,1.6,3,2,24.5
56,69.3,1.68,195,58,0.66,451.0,Yoga,26.5,2.1,2,1,24.55
32,70.5,1.62,177,58,1.24,756.0,Strength,28.4,1.8,2,1,26.86
46,60.1,1.65,175,69,1.69,1042.0,Cardio,17.3,2.7,4,3,22.08
53,94.1,1.95,177,50,0.89,608.0,HIIT,28.6,3.5,3,1,24.75
30,79.2,1.62,181,66,1.26,1046.0,Cardio,28.0,2.5,4,2,30.18
49,115.3,1.91,161,61,1.38,854.0,HIIT,29.2,3.2,2,1,31.61
24,62.9,1.79,180,59,1.42,958.0,Cardio,27.3,2.3,4,2,19.63
39,62.0,1.64,195,54,0.97,678.0,Cardio,27.5,3.2,3,1,23.05
45,88.5,1.78,198,67,1.53,1265.0,HIIT,13.2,3.5,4,3,27.93
19,73.9,1.77,198,64,1.28,877.0,Strength,32.5,2.6,3,2,23.59
59,50.3,1.95,188,55,1.07,885.0,Strength,24.4,3.4,3,1,13.23
23,83.1,1.8,185,56,0.7,624.0,Strength,29.3,3.1,3,1,25.65
45,65.1,1.78,180,66,1.46,1038.0,Cardio,31.3,2.3,3,1,20.55
45,46.6,1.79,176,55,1.46,1214.0,Yoga,22.9,2.4,3,2,14.54
37,103.5,1.89,175,57,0.54,499.0,Cardio,26.4,3.1,2,1,28.97
47,61.9,1.54,190,61,1.95,1150.0,Yoga,16.4,2.7,4,3,26.1
28,52.0,1.61,168,70,1.32,1082.0,Yoga,27.9,2.0,3,2,20.06
45,113.4,1.71,190,63,0.83,530.0,Strength,24.0,2.3,2,1,38.78
42,62.9,1.98,173,61,1.42,886.0,Yoga,28.5,3.4,4,2,16.04
56,40.4,1.8,196,72,1.23,913.0,Cardio,30.0,2.1,4,2,12.47
50,67.1,1.75,161,59,0.67,362.0,Cardio,31.8,2.7,3,1,21.91
18,70.0,1.61,173,71,1.3,1201.0,Strength,23.9,2.5,2,1,27.01
44,69.5,1.75,192,69,1.02,711.0,HIIT,27.6,2.1,3,1,22.69
30,107.9,1.66,194,64,1.08,832.0,Cardio,29.5,2.8,3,2,39.16
58,109.0,1.91,198,56,1.49,1151.0,Yoga,26.0,2.2,3,2,29.88
20,101.0,1.91,179,58,1.36,1070.0,Cardio,29.3,2.7,3,2,27.69
56,88.5,1.85,161,59,1.57,1119.0,Cardio,11.0,3.5,4,3,25.86
23,80.9,1.8,178,59,1.55,1074.0,Cardio,10.7,3.5,4,3,24.97
25,43.1,1.62,196,65,1.04,837.0,HIIT,33.6,1.8,4,2,16.42
44,59.1,1.52,177,56,1.58,967.0,Yoga,18.4,2.7,5,3,25.58
26,54.0,1.53,175,54,1.14,844.0,Strength,26.9,1.7,3,1,23.07
54,72.3,1.78,163,72,1.27,852.0,Cardio,27.7,1.8,2,1,22.82
50,51.1,1.98,171,52,0.92,574.0,Yoga,28.0,2.4,2,1,13.03
59,89.4,1.72,188,67,1.08,813.0,Yoga,24.5,3.2,3,1,30.22
41,51.5,1.8,166,60,1.09,680.0,Strength,26.7,2.1,4,2,15.9
32,87.9,1.88,173,64,1.52,1195.0,Cardio,11.6,3.5,5,3,24.87
49,42.0,1.52,171,70,1.1,644.0,HIIT,28.8,2.2,3,1,18.18
49,79.2,1.72,194,69,1.46,925.0,Yoga,29.9,3.3,3,1,26.77
41,64.8,1.71,164,54,1.2,778.0,Strength,22.5,2.8,3,2,22.16
58,63.0,1.78,176,73,1.58,1095.0,HIIT,17.5,2.7,4,3,19.88
29,56.2,1.77,191,61,0.68,418.0,Yoga,33.4,2.6,3,1,17.94
56,52.9,1.64,169,53,1.1,767.0,Cardio,27.4,2.3,3,2,19.67
19,49.0,1.69,176,64,1.05,772.0,Yoga,29.2,2.4,3,1,17.16
20,128.2,1.84,164,58,0.83,603.0,HIIT,26.2,2.3,3,1,37.87
54,83.6,1.86,168,56,1.54,1082.0,HIIT,12.4,3.5,5,3,24.16
34,56.2,1.77,192,59,1.81,1249.0,Cardio,17.3,2.7,5,3,17.94
19,87.8,1.78,195,72,1.28,1133.0,Cardio,23.6,3.3,2,1,27.71
19,85.9,1.85,195,62,1.66,1424.0,Strength,12.9,3.5,4,3,25.1
45,51.1,1.87,177,57,1.44,1126.0,Cardio,26.2,3.4,4,2,14.61
40,57.4,1.71,168,61,1.87,1337.0,Strength,18.3,2.7,5,3,19.63
54,114.9,1.92,188,71,1.2,802.0,HIIT,20.7,2.6,4,2,31.17
49,62.1,1.66,173,73,1.37,937.0,HIIT,31.3,1.8,3,2,22.54
50,57.1,1.91,184,68,1.09,707.0,Yoga,29.5,2.7,4,2,15.65
18,68.1,1.8,174,50,1.1,926.0,Yoga,25.4,3.3,4,2,21.02
36,69.2,1.65,165,65,1.23,852.0,Strength,27.2,2.7,3,1,25.42
19,65.2,1.52,188,71,1.23,800.0,Cardio,30.6,2.4,3,1,28.22
43,108.6,1.73,174,66,1.33,988.0,Cardio,28.5,2.2,2,1,36.29
49,40.0,1.65,188,74,1.03,686.0,Yoga,34.3,2.5,3,2,14.69
23,41.9,1.58,163,67,0.56,370.0,HIIT,26.8,1.8,3,1,16.78
49,68.3,1.52,177,60,1.45,979.0,Strength,29.4,1.8,4,2,29.56
21,88.4,1.6,198,67,1.71,1138.0,HIIT,12.0,3.5,4,3,34.53
28,66.0,1.9,175,56,1.18,1025.0,HIIT,24.1,3.0,3,1,18.28
34,71.9,1.64,170,67,1.26,929.0,Cardio,21.3,2.1,4,2,26.73
55,75.6,1.71,173,57,1.03,663.0,Strength,28.1,2.0,4,2,25.85
41,63.4,1.59,162,55,1.84,1267.0,HIIT,15.2,2.7,5,3,25.08
22,71.6,1.77,197,56,1.49,1177.0,Yoga,30.3,1.8,3,1,22.85
51,57.4,1.77,177,72,1.08,598.0,Yoga,31.6,2.1,4,2,18.32
23,83.8,1.99,179,71,1.79,1280.0,Cardio,11.0,3.5,4,3,21.16
39,55.9,1.71,184,59,1.95,1443.0,Yoga,19.5,2.7,5,3,19.12
28,87.0,1.76,197,60,1.2,799.0,Yoga,28.4,3.5,3,2,28.09
33,65.3,1.71,172,74,1.18,796.0,HIIT,29.7,2.5,4,2,22.33
50,45.4,1.67,163,62,1.37,1071.0,Yoga,24.1,2.8,4,2,16.28
26,87.1,1.87,173,58,1.71,1241.0,Yoga,11.2,3.5,4,3,24.91
23,78.6,1.73,192,56,1.47,1147.0,HIIT,32.3,1.5,4,2,26.26
33,78.0,1.71,187,58,1.08,734.0,Cardio,26.3,2.1,3,1,26.67
46,58.0,1.53,196,62,1.83,1153.0,Cardio,18.4,2.7,4,3,24.78
20,71.3,1.69,167,52,1.28,1043.0,Strength,33.4,2.3,3,2,24.96
37,49.1,1.74,193,52,1.11,842.0,Yoga,22.3,2.6,3,2,16.22
53,78.3,1.65,164,50,1.24,703.0,HIIT,33.7,1.6,3,1,28.76
36,57.3,1.64,164,70,1.13,887.0,Strength,25.3,1.8,4,2,21.3
43,48.4,1.61,190,69,1.28,732.0,Cardio,34.1,2.4,2,1,18.67
20,76.4,1.62,168,51,1.35,980.0,Cardio,21.2,2.6,4,2,29.11
36,110.2,1.77,191,74,1.19,1021.0,HIIT,26.5,3.4,2,1,35.18
37,72.9,1.76,192,52,1.21,732.0,Strength,27.5,1.9,3,2,23.53
49,82.1,1.86,162,64,1.87,1481.0,Strength,14.2,3.5,4,3,23.73
24,58.9,1.76,189,73,0.63,410.0,HIIT,30.1,1.7,3,1,19.01
58,82.2,1.87,171,55,1.57,1111.0,HIIT,10.7,3.5,4,3,23.51
50,96.7,1.72,188,62,1.46,903.0,Strength,25.7,2.7,3,2,32.69
57,81.4,1.86,162,70,1.8,1292.0,Cardio,12.0,3.5,5,3,23.53
56,107.8,1.73,185,50,1.09,680.0,Yoga,26.6,2.8,3,2,36.02
35,65.8,1.62,189,69,1.0,790.0,Cardio,33.8,1.5,4,2,25.07
57,68.5,1.56,168,68,1.45,900.0,HIIT,29.1,1.6,4,2,28.15
18,63.9,1.59,185,50,1.87,1169.0,Strength,16.4,2.7,4,3,25.28
28,76.3,1.62,161,70,1.16,1034.0,Strength,20.1,2.3,3,2,29.07
45,44.5,1.65,162,71,1.44,959.0,Yoga,30.7,1.6,3,1,16.35
42,50.7,1.75,163,51,1.29,940.0,Strength,29.0,1.9,3,2,16.56
40,55.1,1.61,184,64,1.55,1224.0,Yoga,16.9,2.7,4,3,21.26
48,73.7,1.61,172,63,1.36,815.0,Cardio,21.8,3.6,4,2,28.43
47,55.6,1.77,198,68,1.2,820.0,Cardio,24.3,2.9,4,2,17.75
59,86.9,1.76,194,60,1.13,688.0,Strength,29.8,3.1,3,2,28.05
52,60.3,1.68,182,64,1.6,900.0,Strength,16.5,2.7,4,3,21.36
24,40.4,1.64,168,55,0.99,832.0,HIIT,31.0,1.9,2,1,15.02
33,78.5,1.66,161,69,1.29,1006.0,HIIT,32.8,1.9,4,2,28.49
43,102.6,1.72,190,58,0.82,597.0,Strength,27.5,2.0,2,1,34.68
19,110.8,1.91,161,54,1.31,1074.0,Strength,23.3,2.9,2,1,30.37
18,60.9,1.79,191,69,1.11,699.0,Cardio,31.1,2.1,2,1,19.01
29,55.7,1.61,177,51,1.41,993.0,Strength,28.7,2.3,3,1,21.49
22,110.5,1.92,172,55,1.16,919.0,HIIT,20.2,3.3,3,2,29.98
54,55.2,1.71,164,67,0.77,579.0,Cardio,24.4,2.8,2,1,18.88
49,46.5,1.72,169,72,1.4,832.0,Yoga,22.2,2.6,4,2,15.72
26,70.9,1.66,184,68,0.81,506.0,HIIT,28.9,1.7,3,1,25.73
58,74.6,1.75,193,58,1.09,739.0,HIIT,24.2,2.9,2,1,24.36
52,45.1,1.72,196,70,0.93,594.0,Cardio,27.5,3.3,2,1,15.24
36,99.9,1.99,189,73,1.33,1075.0,Yoga,20.9,2.5,3,1,25.23
33,117.0,1.61,166,55,1.04,744.0,HIIT,25.1,2.4,3,2,45.14
20,75.9,1.73,165,63,1.39,1056.0,Strength,30.6,2.1,4,2,25.36
37,71.2,1.64,162,73,1.11,666.0,HIIT,29.9,1.7,3,2,26.47
41,78.8,1.72,172,62,1.01,660.0,Cardio,27.3,3.1,4,2,26.64
50,50.6,1.69,162,60,1.31,1012.0,Cardio,23.8,3.0,2,1,17.72
41,82.5,1.79,185,61,1.69,1163.0,Cardio,14.7,3.5,4,3,25.75
28,108.5,1.79,183,68,1.33,878.0,HIIT,24.8,2.1,4,2,33.86
25,49.9,1.98,165,68,1.15,772.0,Yoga,25.7,2.1,3,2,12.73
53,125.1,1.91,171,70,0.52,353.0,Strength,28.3,3.1,2,1,34.29
55,79.7,1.66,195,68,1.06,763.0,Cardio,27.8,1.9,2,1,28.92
57,126.8,1.63,161,73,0.96,632.0,Yoga,20.8,2.1,2,1,47.72
37,54.6,1.57,170,62,1.31,982.0,Strength,32.1,2.4,3,1,22.15
52,47.8,1.54,198,63,1.34,880.0,Cardio,29.8,1.9,3,2,20.16
42,97.9,1.91,193,73,1.01,680.0,Strength,29.0,2.8,3,2,26.84
52,63.1,1.54,185,67,1.36,1010.0,Strength,34.8,1.8,3,2,26.61
42,72.4,1.69,177,61,1.07,713.0,Yoga,29.0,2.3,3,2,25.35
46,58.9,1.7,180,53,1.52,1060.0,Strength,17.1,2.7,4,3,20.38
35,50.4,1.6,195,59,1.03,803.0,Cardio,29.1,1.9,4,2,19.69
35,64.2,1.59,199,66,1.63,1182.0,Yoga,16.6,2.7,5,3,25.39
19,58.8,1.77,181,53,1.4,952.0,HIIT,32.8,2.7,2,1,18.77
52,105.2,1.62,189,61,1.36,949.0,HIIT,27.6,3.2,3,1,40.09
33,45.9,1.5,189,62,0.92,662.0,Yoga,29.8,1.7,3,1,20.4
58,65.2,1.63,167,53,1.12,610.0,HIIT,25.4,2.0,3,2,24.54
53,56.3,1.79,193,59,1.52,964.0,Strength,16.5,2.7,5,3,17.57
50,90.0,1.7,168,74,0.81,497.0,Cardio,22.9,2.7,2,1,31.14
21,60.0,1.7,179,52,1.97,1212.0,Strength,19.1,2.7,5,3,20.76
50,51.5,1.71,199,64,1.48,1136.0,Yoga,20.9,2.9,2,1,17.61
31,63.1,1.64,184,51,1.54,962.0,Cardio,19.0,2.7,4,3,23.46
38,91.5,1.77,178,74,0.8,616.0,Yoga,26.7,3.4,2,1,29.21
37,48.7,1.67,164,74,1.39,1009.0,Yoga,27.3,3.0,2,1,17.46
25,57.8,1.56,170,66,1.35,1053.0,Yoga,29.3,1.6,3,2,23.75
24,42.0,1.75,174,55,0.83,598.0,Strength,31.8,2.3,3,1,13.71
20,128.4,1.92,167,57,0.63,502.0,Cardio,26.1,2.0,2,1,34.83
34,74.2,1.57,178,52,1.47,1161.0,Cardio,32.7,2.4,3,1,30.1
50,89.6,1.68,182,74,1.79,1232.0,Cardio,12.2,3.5,5,3,31.75
29,125.9,2.0,186,67,1.36,1137.0,Strength,24.7,3.1,4,2,31.48
39,105.5,1.99,199,71,0.81,593.0,HIIT,26.4,2.5,2,1,26.64
39,93.4,1.7,191,50,1.1,938.0,Strength,21.1,2.5,4,2,32.32
47,82.1,1.84,185,65,1.37,922.0,Strength,24.4,3.4,4,2,24.25
55,42.9,1.69,186,56,0.9,567.0,Yoga,34.7,2.4,2,1,15.02
55,128.4,1.68,178,52,1.13,923.0,Cardio,20.4,2.6,4,2,45.49
25,112.4,1.96,188,72,1.42,1054.0,Cardio,23.2,2.5,2,1,29.26
44,77.7,1.79,198,53,1.41,1047.0,HIIT,28.1,2.2,3,1,24.25
44,89.3,1.99,192,58,1.4,936.0,HIIT,26.3,2.0,4,2,22.55
51,70.3,1.55,178,54,1.4,876.0,Yoga,26.1,1.6,3,1,29.26
38,59.1,1.72,196,68,1.07,792.0,Cardio,31.3,1.7,3,2,19.98
47,49.9,1.69,178,64,1.48,979.0,HIIT,26.0,1.7,3,2,17.47
50,101.7,1.67,192,57,0.53,333.0,HIIT,20.9,2.9,2,1,36.47
45,93.0,1.91,175,55,1.03,729.0,Cardio,27.3,3.7,3,2,25.49
50,87.4,1.6,182,67,0.77,465.0,Strength,23.2,3.1,2,1,34.14
22,55.1,1.61,166,68,1.62,1166.0,HIIT,19.9,2.7,4,3,21.26
36,123.7,1.69,185,73,1.3,987.0,Cardio,20.4,2.1,4,2,43.31
21,61.3,1.57,191,64,1.94,1474.0,HIIT,17.2,2.7,4,3,24.87
52,72.3,1.94,171,56,1.46,874.0,Yoga,21.1,2.9,3,2,19.21
34,69.2,1.53,167,59,1.36,911.0,HIIT,28.5,2.1,2,1,29.56
45,81.4,1.61,164,55,1.14,796.0,Cardio,30.0,2.2,4,2,31.4
47,84.8,1.86,187,63,1.85,1181.0,HIIT,14.4,3.5,5,3,24.51
46,55.1,1.72,164,66,1.43,970.0,Yoga,20.5,3.6,3,2,18.62
23,59.0,1.78,185,58,1.67,1177.0,Yoga,17.8,2.7,5,3,18.62
52,64.9,1.51,164,68,1.83,1359.0,HIIT,18.2,2.7,4,3,28.46
58,109.7,1.75,181,54,1.01,840.0,HIIT,22.1,2.7,2,1,35.82
54,78.4,1.9,174,72,0.81,585.0,Yoga,21.5,3.7,2,1,21.72
41,76.7,1.79,172,56,1.4,832.0,Yoga,34.0,2.0,4,2,23.94
46,63.1,1.61,187,68,1.0,684.0,Strength,34.7,2.2,4,2,24.34
48,62.9,1.58,192,69,1.98,1105.0,Strength,20.0,2.7,4,3,25.2
52,85.6,1.74,182,56,1.84,1321.0,Yoga,13.9,3.5,4,3,28.27
50,66.3,1.57,192,73,1.25,742.0,HIIT,31.6,1.6,2,1,26.9
38,61.3,1.97,177,51,1.37,1100.0,Cardio,23.5,2.8,3,1,15.8
49,44.1,1.65,189,74,1.16,694.0,HIIT,26.7,1.8,4,2,16.2
